iter	Passed	Remaining
408	5373	7764
409	5386	7751
410	5399	7738
411	5412	7724
412	5425	7711
413	5439	7698
414	5451	7684
415	5464	7671
416	5481	7662
417	5494	7650
418	5513	7644
419	5525	7631
420	5538	7617
421	5550	7602
422	5563	7588
423	5575	7573
424	5587	7559
425	5599	7545
426	5612	7531
427	5625	7517
428	5638	7504
429	5651	7491
430	5664	7478
431	5677	7464
432	5690	7451
433	5703	7438
434	5716	7425
435	5729	7411
436	5741	7396
437	5753	7382
438	5765	7368
439	5778	7354
440	5790	7339
441	5802	7325
442	5815	7311
443	5828	7298
444	5840	7283
445	5852	7269
446	5864	7255
447	5876	7241
448	5890	7228
449	5903	7215
450	5915	7201
451	5928	7187
452	5945	7179
453	5957	7165
454	5969	7150
455	5982	7137
456	5994	7123
457	6007	7109
458	6019	7095
459	6031	7080
460	6043	7066
461	6055	7051
462	6067	7037
463	6079	7023
464	6091	7008
465	6104	6995
466	6116	6981
467	6129	6967
468	6141	6953
469	6154	6939
470	6166	6926
471	6178	6911
472	6190	6897
473	6203	6883
474	6215	6869
475	6227	6855
476	6239	6841
477	6252	6828
478	6265	6814
479	6277	6800
480	6289	6786
481	6301	6772
482	6314	6758
483	6326	6744
484	6339	6731
485	6352	6718
486	6365	6705
487	6378	6692
488	6392	6679
489	6405	6667
490	6418	6653
491	6431	6641
492	6444	6627
493	6458	6615
494	6471	6602
495	6484	6589
496	6498	6576
497	6511	6563
498	6523	6550
499	6536	6536
500	6549	6523
501	6563	6510
502	6577	6499
503	6591	6486
504	6605	6474
505	6620	6463
506	6639	6456
507	6676	6466
508	6733	6495
509	6798	6531
510	6859	6564
511	6898	6574
512	6943	6591
513	6968	6589
514	6986	6579
515	7001	6567
516	7016	6554
517	7029	6541
518	7043	6528
519	7057	6514
520	7071	6501
521	7085	6488
522	7098	6474
523	7111	6460
524	7125	6446
525	7138	6432
526	7152	6419
527	7166	6406
528	7179	6392
529	7193	6379
530	7206	6365
531	7220	6352
532	7233	6337
533	7247	6324
534	7257	6307
535	7266	6290
536	7276	6273
537	7286	6256
538	7296	6240
539	7305	6223
540	7315	6207
541	7325	6190
542	7334	6173
543	7344	6156
544	7353	6139
545	7363	6122
546	7373	6106
547	7382	6089
548	7392	6072
549	7401	6056
550	7411	6039
551	7421	6023
552	7431	6006
553	7440	5990
554	7449	5973
555	7459	5956
556	7469	5940
557	7478	5924
558	7489	5908
559	7498	5891
560	7508	5875
561	7518	5859
562	7528	5843
563	7541	5829
564	7553	5815
565	7565	5800
566	7575	5785
567	7588	5771
568	7600	5757
569	7611	5742
570	7624	5728
571	7636	5714
572	7649	5700
573	7659	5684
574	7672	5671
575	7684	5656
576	7696	5642
577	7707	5627
578	7720	5613
579	7732	5599
580	7743	5584
581	7756	5570
582	7769	5556
583	7778	5540
584	7788	5524
585	7797	5509
586	7807	5493
587	7817	5477
588	7826	5461
589	7836	5445
590	7846	5430
591	7856	5414
592	7865	5398
593	7875	5383
594	7885	5367
595	7894	5351
596	7904	5335
597	7913	5319
598	7923	5304
599	7932	5288
600	7942	5273
601	7952	5257
602	7962	5242
603	7972	5226
604	7981	5211
605	7991	5195
606	8001	5180
607	8010	5164
608	8020	5149
609	8030	5133
610	8039	5118
611	8049	5103
612	8059	5087
613	8068	5072
614	8078	5057
615	8087	5041
616	8097	5026
617	8107	5011
618	8116	4996
619	8126	4980
620	8136	4965
621	8154	4955
622	8165	4941
623	8181	4929
624	8190	4914
625	8200	4899
626	8210	4884
627	8219	4869
628	8229	4854
629	8239	4839
630	8249	4823
631	8258	4808
632	8268	4793
633	8278	4778
634	8287	4763
635	8297	4748
636	8307	4733
637	8316	4718
638	8326	4703
639	8335	4688
640	8346	4674
641	8362	4663
642	8372	4648
643	8381	4633
644	8391	4618
645	8401	4603
646	8411	4589
647	8420	4574
648	8430	4559
649	8440	4544
650	8449	4529
651	8459	4515
652	8469	4500
653	8478	4485
654	8488	4470
655	8497	4456
656	8507	4441
657	8517	4426
658	8526	4412
659	8536	4397
660	8545	4382
661	8555	4368
662	8565	4353
663	8575	4339
664	8584	4324
665	8593	4309
666	8603	4295
667	8612	4280
668	8622	4266
669	8632	4251
670	8641	4237
671	8651	4222
672	8661	4208
673	8671	4194
674	8681	4179
675	8690	4165
676	8700	4151
677	8709	4136
678	8719	4122
679	8729	4107
680	8738	4093
681	8748	4079
682	8758	4064
683	8767	4050
684	8777	4036
685	8786	4021
686	8796	4007
687	8806	3993
688	8815	3979
689	8825	3964
690	8834	3950
691	8844	3936
692	8854	3922
693	8863	3908
694	8873	3894
695	8883	3880
696	8892	3865
697	8902	3851
698	8912	3837
699	8921	3823
700	8931	3809
701	8941	3795
702	8950	3781
703	8960	3767
704	8969	3753
705	8979	3739
706	8989	3725
707	8998	3711
708	9008	3697
709	9018	3683
710	9027	3669
711	9037	3655
712	9046	3641
713	9056	3627
714	9066	3613
715	9075	3599
716	9085	3585
717	9094	3572
718	9104	3558
719	9114	3544
720	9123	3530
721	9137	3518
722	9149	3505
723	9161	3492
724	9174	3479
725	9184	3466
726	9193	3452
727	9203	3438
728	9214	3425
729	9223	3411
730	9233	3397
731	9242	3383
732	9252	3370
733	9261	3356
734	9271	3342
735	9281	3329
736	9291	3315
737	9300	3301
738	9310	3288
739	9319	3274
740	9329	3260
741	9339	3247
742	9348	3233
743	9358	3220
744	9368	3206
745	9377	3193
746	9387	3179
747	9397	3165
748	9406	3152
749	9416	3138
750	9426	3125
751	9435	3111
752	9445	3098
753	9455	3084
754	9464	3071
755	9474	3057
756	9483	3044
757	9493	3030
758	9503	3017
759	9513	3004
760	9522	2990
761	9532	2977
762	9541	2963
763	9551	2950
764	9560	2937
765	9570	2923
766	9580	2910
767	9590	2897
768	9599	2883
769	9609	2870
770	9618	2856
771	9628	2843
772	9637	2830
773	9647	2816
774	9657	2803
775	9666	2790
776	9676	2777
777	9685	2763
778	9695	2750
779	9705	2737
780	9714	2724
781	9724	2710
782	9733	2697
783	9743	2684
784	9752	2671
785	9764	2658
786	9773	2645
787	9784	2632
788	9794	2619
789	9803	2606
790	9813	2592
791	9823	2579
792	9832	2566
793	9842	2553
794	9851	2540
795	9861	2527
796	9870	2514
797	9880	2501
798	9891	2488
799	9901	2475
800	9910	2462
801	9920	2449
802	9929	2436
803	9939	2423
804	9948	2409
805	9958	2396
806	9967	2383
807	9977	2370
808	9986	2357
809	9996	2344
810	10005	2331
811	10015	2318
812	10025	2305
813	10035	2293
814	10044	2280
815	10054	2267
816	10063	2254
817	10073	2241
818	10082	2228
819	10092	2215
820	10101	2202
821	10113	2189
822	10126	2177
823	10142	2166
824	10152	2153
825	10161	2140
826	10171	2127
827	10181	2114
828	10191	2102
829	10200	2089
830	10210	2076
831	10219	2063
832	10229	2050
833	10239	2037
834	10248	2025
835	10258	2012
836	10267	1999
837	10277	1986
838	10286	1973
839	10296	1961
840	10305	1948
841	10315	1935
842	10324	1922
843	10334	1910
844	10343	1897
845	10353	1884
846	10362	1871
847	10372	1859
848	10382	1846
849	10391	1833
850	10401	1821
851	10411	1808
852	10420	1795
853	10430	1783
854	10440	1770
855	10449	1757
856	10459	1745
857	10468	1732
858	10478	1719
859	10487	1707
860	10497	1694
861	10506	1682
862	10516	1669
863	10526	1656
864	10535	1644
865	10545	1631
866	10554	1619
867	10564	1606
868	10573	1593
869	10583	1581
870	10592	1568
871	10602	1556
872	10611	1543
873	10621	1531
874	10631	1518
875	10640	1506
876	10650	1493
877	10659	1481
878	10669	1468
879	10679	1456
880	10688	1443
881	10698	1431
882	10708	1418
883	10717	1406
884	10727	1393
885	10736	1381
886	10746	1369
887	10756	1356
888	10765	1344
889	10775	1331
890	10784	1319
891	10794	1306
892	10803	1294
893	10813	1282
894	10822	1269
895	10832	1257
896	10842	1244
897	10851	1232
898	10861	1220
899	10870	1207
900	10880	1195
901	10890	1183
902	10899	1170
903	10909	1158
904	10918	1146
905	10929	1133
906	10938	1121
907	10948	1109
908	10957	1097
909	10967	1084
910	10977	1072
911	10986	1060
912	10996	1047
913	11005	1035
914	11015	1023
915	11025	1011
916	11034	998
917	11044	986
918	11054	974
919	11063	962
920	11073	949
921	11085	937
922	11106	926
923	11117	914
924	11128	902
925	11138	890
926	11147	877
927	11157	865
928	11166	853
929	11177	841
930	11187	829
931	11196	816
932	11206	804
933	11215	792
934	11225	780
935	11234	768
936	11244	756
937	11254	743
938	11263	731
939	11273	719
940	11283	707
941	11292	695
942	11302	683
943	11312	671
944	11321	658
945	11331	646
946	11340	634
947	11350	622
948	11360	610
949	11370	598
950	11379	586
951	11389	574
952	11399	562
953	11408	550
954	11418	538
955	11428	525
956	11437	513
957	11447	501
958	11456	489
959	11466	477
960	11475	465
961	11485	453
962	11494	441
963	11504	429
964	11514	417
965	11523	405
966	11533	393
967	11542	381
968	11552	369
969	11561	357
970	11571	345
971	11581	333
972	11590	321
973	11600	309
974	11610	297
975	11619	285
976	11629	273
977	11639	261
978	11648	249
979	11658	237
980	11667	225
981	11677	214
982	11687	202
983	11696	190
984	11706	178
985	11716	166
986	11725	154
987	11735	142
988	11744	130
989	11754	118
990	11763	106
991	11773	94
992	11782	83
993	11792	71
994	11802	59
995	11811	47
996	11821	35
997	11831	23
998	11840	11
999	11850	0
