iter	MultiClass
0	1.352153866
1	1.325476086
2	1.296171562
3	1.269562021
4	1.244312401
5	1.221273265
6	1.200461434
7	1.173382947
8	1.154921781
9	1.13612522
10	1.119141514
11	1.103152475
12	1.08571122
13	1.07112976
14	1.052021889
15	1.033126547
16	1.019375756
17	1.006887137
18	0.9945613156
19	0.982475289
20	0.9719318779
21	0.9607673705
22	0.9469895711
23	0.9361054213
24	0.9245127358
25	0.9143451937
26	0.9027479905
27	0.8942062282
28	0.8862764864
29	0.8786163368
30	0.8715558518
31	0.8640384401
32	0.8570450283
33	0.850223717
34	0.8435014233
35	0.8368684333
36	0.8281605529
37	0.8213185708
38	0.812175208
39	0.8057906413
40	0.8011650066
41	0.792764089
42	0.7880464863
43	0.7830003506
44	0.7752419038
45	0.7685396231
46	0.7638407401
47	0.7597660102
48	0.7537093149
49	0.7481415315
50	0.7445998551
51	0.7402388208
52	0.7358851407
53	0.7322369922
54	0.7275155904
55	0.7237781882
56	0.7199463737
57	0.7149170568
58	0.7095299698
59	0.7052815683
60	0.7009544454
61	0.6959912398
62	0.6929040664
63	0.6905713938
64	0.6872690096
65	0.6842008217
66	0.68068232
67	0.677233937
68	0.6741517367
69	0.6715983192
70	0.6693094316
71	0.6677769905
72	0.6652190157
73	0.6629167323
74	0.6588075623
75	0.6553139484
76	0.6526577728
77	0.6501053412
78	0.6480623956
79	0.6449237413
80	0.6427171898
81	0.6397812332
82	0.6363513165
83	0.6336439
84	0.6322142362
85	0.629154029
86	0.6265167933
87	0.625258248
88	0.6234682602
89	0.6212764348
90	0.6182538695
91	0.6155592571
92	0.6138708857
93	0.6117572964
94	0.6098035168
95	0.6073949631
96	0.6054511724
97	0.6037599768
98	0.6025439385
99	0.6008691108
100	0.5989159726
101	0.5972351608
102	0.596346293
103	0.5946333997
104	0.5931276844
105	0.5918305577
106	0.5900567989
107	0.5882138329
108	0.5848596102
109	0.5829900024
110	0.5812697404
111	0.579614874
112	0.5784408593
113	0.5774611709
114	0.5760883694
115	0.5744524812
116	0.5733121405
117	0.572361067
118	0.5710365796
119	0.5696328325
120	0.5682327908
121	0.5665119285
122	0.5655341556
123	0.564298228
124	0.5635628741
125	0.5627709102
126	0.5607431895
127	0.5596452505
128	0.5583451272
129	0.5573892282
130	0.5559435906
131	0.5551767475
132	0.5536507044
133	0.5523636463
134	0.5508341562
135	0.5498401705
136	0.5481778923
137	0.5476046296
138	0.5457091364
139	0.5444360708
140	0.5436261519
141	0.5423949906
142	0.5416635529
143	0.5403917823
144	0.539013539
145	0.5384245532
146	0.5377058899
147	0.5367549937
148	0.5360473982
149	0.5350148437
150	0.5334514196
151	0.5325269847
152	0.5314796551
153	0.5307758227
154	0.5292806013
155	0.5279193047
156	0.5274890088
157	0.5262082241
158	0.5252658929
159	0.5239022086
160	0.5231529955
161	0.5218452313
162	0.5211164473
163	0.5202678126
164	0.5187002889
165	0.5174040499
166	0.5161342244
167	0.5148574132
168	0.5140596893
169	0.5134457277
170	0.5129001554
171	0.512367773
172	0.5115573332
173	0.5101705282
174	0.5097497766
175	0.5093705202
176	0.5087432499
177	0.508373373
178	0.5075957084
179	0.5071449781
180	0.506531994
181	0.5044557486
182	0.5039933456
183	0.5033735407
184	0.5024697736
185	0.5019461714
186	0.5009294051
187	0.5004794685
188	0.4998832486
189	0.4994191931
190	0.4986820563
191	0.4977642096
192	0.4969697677
193	0.496107571
194	0.4956864717
195	0.4953340068
196	0.4938194386
197	0.4935700832
198	0.4928211006
199	0.4917839008
200	0.4911569087
201	0.4904508091
202	0.4901484605
203	0.4892418107
204	0.488856682
205	0.4878002059
206	0.4871612726
207	0.486439624
208	0.4860128707
209	0.4855036745
210	0.4850480083
211	0.4848138217
212	0.4840975579
213	0.483609906
214	0.4829961145
215	0.4826364893
216	0.4824284563
217	0.4817578441
218	0.4808118606
219	0.4798365215
220	0.4786604374
221	0.4776305794
222	0.4769516365
223	0.4764728928
224	0.4757127078
225	0.4749355158
226	0.474542549
227	0.4736536971
228	0.4727693588
229	0.4723335175
230	0.4714843833
231	0.470809027
232	0.4706254707
233	0.4694995959
234	0.4686389639
235	0.4677834976
236	0.4666957337
237	0.4663933047
238	0.4656368226
239	0.465417483
240	0.4648779183
241	0.4643041644
242	0.4634143183
243	0.4628886241
244	0.4622604213
245	0.4615093279
246	0.4606753507
247	0.4601736138
248	0.4598919538
249	0.4592121865
250	0.4584016026
251	0.4578059866
252	0.4573213061
253	0.4568183685
254	0.456337433
255	0.4559992674
256	0.4554531468
257	0.4551257763
258	0.454756196
259	0.4542486524
260	0.4538407806
261	0.4530393487
262	0.4524917671
263	0.4518352228
264	0.4513962696
265	0.45105577
266	0.4502734164
267	0.4499848286
268	0.4493432533
269	0.448663834
270	0.4479771531
271	0.4475895033
272	0.4472846519
273	0.4463896851
274	0.4456611619
275	0.4446437352
276	0.4443324663
277	0.4441141316
278	0.4435525857
279	0.4430202589
280	0.4427015233
281	0.4419489033
282	0.4416381918
283	0.4410795108
284	0.4403160894
285	0.439979182
286	0.439747531
287	0.4391886668
288	0.4386053177
289	0.4380448747
290	0.437777939
291	0.4372325313
292	0.4368483691
293	0.4364823652
294	0.4360068878
295	0.4353144315
296	0.4348289226
297	0.4344583833
298	0.433543793
299	0.4331961386
300	0.4325281795
301	0.4319771923
302	0.4313950591
303	0.4311929246
304	0.4308780313
305	0.4305680086
306	0.4299692744
307	0.429396755
308	0.4287588376
309	0.4283338737
310	0.4279915839
311	0.4276971426
312	0.4270876087
313	0.4268201591
314	0.4264809532
315	0.4262487962
316	0.4260771334
317	0.4257718969
318	0.4252195959
319	0.4250140507
320	0.424690831
321	0.4243755326
322	0.42393822
323	0.4237583113
324	0.4235056659
325	0.4228034849
326	0.4221037477
327	0.4217515285
328	0.421286795
329	0.4207439455
330	0.4204286214
331	0.4200045819
332	0.4195521485
333	0.4190492329
334	0.4188858196
335	0.4187277913
336	0.4180547337
337	0.4177009504
338	0.417445407
339	0.4172134282
340	0.417018133
341	0.4166746539
342	0.4162096489
343	0.4158128186
344	0.4155964066
345	0.4154568317
346	0.4152075534
347	0.4148997453
348	0.4147033202
349	0.4142475095
350	0.4136856477
351	0.413369143
352	0.4131286388
353	0.4126843289
354	0.4125030736
355	0.4119895575
356	0.4117871708
357	0.4115361723
358	0.4109494697
359	0.410443381
360	0.4102028906
361	0.4100008515
362	0.409704351
363	0.4092831491
364	0.4088592305
365	0.4085943477
366	0.4080414097
367	0.4078816588
368	0.4077001142
369	0.4074654634
370	0.4073115135
371	0.4071899432
372	0.4069084685
373	0.4066570779
374	0.4063858435
375	0.4061976148
376	0.405895527
377	0.4057225001
378	0.4053856905
379	0.4050308629
380	0.40485574
381	0.4046141385
382	0.4044835906
383	0.4038965984
384	0.4035158735
385	0.4030307742
386	0.4028146178
387	0.4024387809
388	0.4021751494
389	0.4020346513
390	0.4016123754
391	0.4013964553
392	0.4008943123
393	0.4007284491
394	0.4005332973
395	0.4002110781
396	0.3996074866
397	0.3994943466
398	0.3993291924
399	0.3991907534
400	0.3991115332
401	0.3987260176
402	0.3985382506
403	0.3978823094
404	0.3973954562
405	0.3970524485
406	0.3968536299
